Naive (est),Naive (err_bound),IAE without Bayesian (est),IAE without Bayesian (err_bound),IAE with Bayesian (est),IAE with Bayesian (err_bound),Naive_fixed_shots (est),Naive_fixed_shots (err_bound),Naive (total_sc),IAE without Bayesian (total_sc),IAE with Bayesian (total_sc)
-4.702582240154066,0.0149741640429758,-4.7016463091946346,0.0134862917265173,-4.701789041186744,0.013075971340744,-4.676391734944907,0.1184590179833807,213105700.0,1658232.000000001,1490232.05
-4.597694167596041,0.0144648984610375,-4.5981099031907045,0.0127972797904571,-4.598118409439725,0.0122164021018542,-4.572288383501913,0.1064304135716465,212587150.0,1681086.3000000007,1499266.0499999986
-4.417874736223292,0.0144474235272047,-4.41754431646306,0.0127067767605944,-4.417850896554589,0.0122802835999781,-4.393734676886845,0.110255086425137,213021900.0,1697115.5999999992,1521243.699999999
-3.944243151625563,0.0140404652530506,-3.9434936682260697,0.0121272143648982,-3.9436977356254586,0.0117046975407212,-3.921573621936329,0.1203422224349075,214361100.0,1666705.2499999998,1488536.4999999986
-3.848573596595658,0.0137934105276136,-3.847898350792173,0.0121024096765989,-3.848144693016368,0.0118213644198668,-3.824418327745572,0.1177631425664411,213680150.0,1639840.6499999992,1473144.5499999989
-3.3811274432588165,0.0133869904471473,-3.3808968959655066,0.0115703276658959,-3.3806293579696503,0.0112559196347452,-3.3590268882313508,0.1302924331833626,217748900.0,1652434.35,1480764.0000000005
-3.0365611282256952,0.013016116252604,-3.0359354452675853,0.0110844840872009,-3.036416908841668,0.0106279905598911,-3.017838070539823,0.1402898286600193,225493150.0,1674584.4499999988,1503084.4499999993
-2.816762383245577,0.0126929698561797,-2.8162880354972404,0.0108342103458405,-2.816056786718039,0.0104341853406885,-2.800941946895404,0.1480345260276035,232954750.0,1672130.3499999994,1490437.8
-2.687517020598861,0.0122154004610864,-2.6873905016865787,0.0104299352959615,-2.6879301468534167,0.0101263117754909,-2.6724932341187704,0.1429519152459478,233569100.0,1665869.049999999,1489296.900000001
-2.5735791780793567,0.010746661418022056,-2.5730039372489233,0.009178174151234791,-2.5735310266214784,0.008922710810585632,-2.5615061439368523,0.11839275646122051,233382300.0,1688013.150000001,1509265.3500000008
