Naive (est),Naive (err_bound),IAE without Bayesian (est),IAE without Bayesian (err_bound),IAE with Bayesian (est),IAE with Bayesian (err_bound),Naive_fixed_shots (est),Naive_fixed_shots (err_bound),Naive (total_sc),IAE without Bayesian (total_sc),IAE with Bayesian (total_sc)
-29.72265524,0.004022757,-29.72404782,0.002887097,-29.72169231,0.00397362,-29.58369964,0.110563284,18650158250,15237782.05,13370445.75
-29.32230031,0.004023038,-29.32375855,0.002851948,-29.32122663,0.00397117,-29.1810222,0.114003691,18657458100,15095466.6,13359881.45
-28.78841793,0.004016188,-28.78966605,0.002920641,-28.78737029,0.004013012,-28.64991196,0.115694205,18671779450,14883591.75,13279368.7
-27.69125107,0.003954281,-27.69263618,0.002888136,-27.6905293,0.003936012,-27.5629961,0.116281743,18756969500,15050982.05,13358455.7
-27.24597135,0.003909762,-27.24729708,0.002848194,-27.24507583,0.003865347,-27.11970187,0.116915499,18847546300,15051717.45,13391037.7
-26.19724244,0.003746011,-26.19865,0.002693896,-26.19619353,0.003759587,-26.06604099,0.120889839,19452805200,15750769.4,13956140.25
-25.62630546,0.003515544,-25.62710865,0.002611819,-25.62520962,0.003627602,-25.4909789,0.124327943,19994384800,15418628.3,13673577.3
-25.28100095,0.00287361,-25.28207998,0.001942414,-25.27968258,0.003256858,-25.13367644,0.107993974,18985729000,15022858.2,13246067
-25.03315827,0.002844476,-25.03534378,0.001865267,-25.03176783,0.003232689,-24.88515989,0.113058646,20256426750,16300904.45,14308313.6
-24.85656913,0.002754922,-24.8562413,0.001816873,-24.85530807,0.003159064,-24.70740662,0.11108859,19777787450,16151597.75,14183163.7
