Naive (est),Naive (err_bound),IAE without Bayesian (est),IAE without Bayesian (err_bound),IAE with Bayesian (est),IAE with Bayesian (err_bound),Naive_fixed_shots (est),Naive_fixed_shots (err_bound),Naive (total_sc),IAE without Bayesian (total_sc),IAE with Bayesian (total_sc)
-1.054174688,0.00918801,-1.055496637,0.008196682,-1.055084752,0.007783357,-1.072461518,0.078789945,189520050,1484913.3,1338023.55
-1.100422313,0.008751903,-1.102051145,0.008435708,-1.101784344,0.008175426,-1.114665415,0.077163312,189256000,1494442.75,1339927.95
-1.148721564,0.008608153,-1.150086618,0.008215885,-1.149726705,0.007855799,-1.161963881,0.073824528,189185950,1479148.35,1314489.25
-1.163995689,0.007990113,-1.165507676,0.0080839,-1.16513301,0.007696523,-1.173355024,0.071220467,189010700,1474665.6,1311576.5
-1.089037103,0.007705121,-1.090247081,0.007975645,-1.089727114,0.007904204,-1.095071156,0.075376559,189388050,1457939.7,1295400
-1.071187768,0.007757071,-1.072445045,0.007997812,-1.071717822,0.007877613,-1.077173508,0.076077741,189519650,1461033.85,1303931.2
-0.969960492,0.007607762,-0.970510982,0.007871428,-0.970181409,0.007785428,-0.972222668,0.087494037,190801900,1456564.5,1299001.45
-0.888154197,0.007496947,-0.888397706,0.007807021,-0.88801254,0.007512267,-0.884807417,0.099323272,194720700,1508686.75,1351695.7
-0.834972998,0.007398904,-0.834756402,0.007827612,-0.834905426,0.007504213,-0.830314851,0.109714317,199252700,1515732.5,1356178.65
-0.802404849,0.007277498,-0.802550452,0.007827511,-0.802801775,0.007377105,-0.796808737,0.111446084,201741950,1505159.65,1332436.7
-0.780814329,0.00708128,-0.780692754,0.007706017,-0.781059958,0.0072226,-0.77508032,0.108563267,201941700,1496038.1,1324455.55
